first_name;last_name;address;city;county;postal;phone1;phone2;email
Aleshia;Tomkiewicz;14 Taylor St;St. Stephens Ward;Kent;CT2 7PP;01835-703597;01944-369967;atomkiewicz@hotmail.com
Evan;Zigomalas;5 Binney St;Abbey Ward;Buckinghamshire;HP11 2AX;01937-864715;01714-737668;evan.zigomalas@gmail.com
France;Andrade;8 Moor Place;East Southbourne and Tuckton W;Bournemouth;BH6 3BE;01347-368222;01935-821636;france.andrade@hotmail.com
Ulysses;Mcwalters;505 Exeter Rd;Hawerby cum Beesby;Lincolnshire;DN36 5RP;01912-771311;01302-601380;ulysses@hotmail.com
Tyisha;Veness;5396 Forth Street;Greets Green and Lyng Ward;West Midlands;B70 9DT;01547-429341;01290-367248;tyisha.veness@hotmail.com
Eric;Rampy;9472 Lind St;Desborough;Northamptonshire;NN14 2GH;01969-886290;01545-817375;erampy@rampy.co.uk
Marg;Grasmick;7457 Cowl St #70;Bargate Ward;Southampton;SO14 3TY;01865-582516;01362-620532;marg@hotmail.com
Laquita;Hisaw;20 Gloucester Pl #96;Chirton Ward;Tyne & Wear;NE29 7AD;01746-394243;01590-982428;laquita@yahoo.com
Lura;Manzella;929 Augustine St;Staple Hill Ward;South Gloucestershire;BS16 4LL;01907-538509;01340-713951;lura@hotmail.com
Yuette;Klapec;45 Bradfield St #166;Parwich;Derbyshire;DE6 1QN;01903-649460;01933-512513;yuette.klapec@klapec.co.uk
Fernanda;Writer;620 Northampton St;Wilmington;Kent;DA2 7PP;01630-202053;01687-879391;fernanda@writer.co.uk
Charlesetta;Erm;5 Hygeia St;Loundsley Green Ward;Derbyshire;S40 4LY;01276-816806;01517-624517;charlesetta_erm@gmail.com
Corrinne;Jaret;2150 Morley St;Dee Ward;Dumfries and Galloway;DG8 7DE;01625-932209;01642-322954;corrinne_jaret@gmail.com
Niesha;Bruch;24 Bolton St;Broxburn Uphall and Winchburg;West Lothian;EH52 5TL;01874-856950;01342-793603;niesha.bruch@yahoo.com
Rueben;Gastellum;4 Forrest St;Weston-Super-Mare;North Somerset;BS23 3HG;01976-755279;01956-535511;rueben_gastellum@gastellum.co.uk
Michell;Throssell;89 Noon St;Carbrooke;Norfolk;IP25 6JQ;01967-580851;01672-496478;mthrossell@throssell.co.uk
Edgar;Kanne;99 Guthrie St;New Milton;Hampshire;BH25 5DF;01326-532337;01666-638176;edgar.kanne@yahoo.com
Dewitt;Julio;7 Richmond St;Parkham;Devon;EX39 5DJ;01253-528327;01241-964675;dewitt.julio@hotmail.com
Charisse;Spinello;9165 Primrose St;Darnall Ward;Yorkshire South;S4 7WN;01719-831436;01207-428520;charisse_spinello@spinello.co.uk
